ID,Name,Email,Age,Gender,Salary
66085713,Nicole,Nicole@news.com,55,male,260000
21575193,,220000
31764802,Elfrida,Elfrida@news.com,36,male,240000
50366006,Haruko,Haruko.com,58,Male,280000
55464195,Tannie,Tannie@,FEMALE,380000
14076325,Sherry,.com,43,female,260000
4e1688ef-2fd4-4647-bff9-286e871601fc,Tedda,Tedda@yahoo.com,55,F,280000
7014463,Jatinder,Jatinder@news.com,52,m,dsfsdf
86468247,Gihan,Gihan@finance.com,34,M,310000
61986354,Daisi,Daisi@finance.com,27,male,240000
53112206,Jamin,Jamin@gmail.com,36,,100000
23114888,Iolande,Iolande@finance.com,280,Not given,280000
sfsf,Kirsti,Kirsti@,64,M,140000
44819048,Rafa,Rafa.com,57,F,230000
77801291,Philip,Philip@,48,F,180000
94100081,Elsy,Elsy@finance.com,60,male,230000
42083713,Harold,Harold,63,m,120000
85413688,Zere,Zere.com,38,M,240000
52649758,Atsuo,Atsuo.in,50,,270000
85952663,Emiline,Emiline@test,28,male,200000
24402263,Raynard,Raynard.in,50,M,360000
35283892,Haruko,Haruko@yahoo.com,46,FEMALE,240000
11151650,Maryann,Maryann@finance.com,31,female,270000
